40689
{-58.467983, -48.402988, 37.672276},{-50.716511, -41.64579, 40},{-55.212563, -37.939728, 40}
{-53.063187, -51.951565, 37.672276},{-45.845631, -44.843819, 40},{-50.716511, -41.64579, 40}
{-47.326893, -54.935741, 37.672276},{-40.675995, -47.533203, 40},{-45.845631, -44.843819, 40}
{-41.33979, -57.378971, 37.672276},{-35.280331, -49.735077, 40},{-40.675995, -47.533203, 40}
{-35.171413, -59.321854, 37.672276},{-29.721296, -51.486034, 40},{-35.280331, -49.735077, 40}
{-28.996138, -60.788506, 37.672276},{-24.156046, -52.807804, 40},{-29.721296, -51.486034, 40}
{-22.502836, -61.900982, 37.672276},{-18.304188, -53.810383, 40},{-24.156046, -52.807804, 40}
{-16.076807, -62.635952, 37.672276},{-12.512955, -54.472748, 40},{-18.304188, -53.810383, 40}
{-9.622748, -63.061802, 37.672276},{-6.696461, -54.856533, 40},{-12.512955, -54.472748, 40}
{-3.351335, -63.217297, 37.672276},{-1.04457, -54.996662, 40},{-6.696461, -54.856533, 40}
{3.311271, -63.134991, 37.672276},{4.959869, -54.922489, 40},{-1.04457, -54.996662, 40}
{9.770338, -62.793339, 37.672276},{10.780876, -54.614586, 40},{4.959869, -54.922489, 40}
{16.206701, -62.154919, 37.672276},{16.581423, -54.039234, 40},{10.780876, -54.614586, 40}
{22.600098, -61.176743, 37.672276},{22.343246, -53.157688, 40},{16.581423, -54.039234, 40}
{28.921719, -59.811245, 37.672276},{28.040384, -51.927078, 40},{22.343246, -53.157688, 40}
{35.132469, -58.008472, 37.672276},{33.637608, -50.302395, 40},{28.040384, -51.927078, 40}
{41.180447, -55.719055, 37.672276},{39.088131, -48.239136, 40},{33.637608, -50.302395, 40}
{46.999496, -52.899548, 37.672276},{44.332348, -45.698158, 40},{39.088131, -48.239136, 40}
{52.668304, -49.412621, 37.672276},{49.441162, -42.555687, 40},{44.332348, -45.698158, 40}
{57.549496, -45.646408, 37.672276},{53.840164, -39.161518, 40},{49.441162, -42.555687, 40}
{62.285954, -41.085083, 37.672276},{58.10873, -35.050785, 40},{53.840164, -39.161518, 40}
{66.424866, -36.117844, 37.672276},{61.838779, -30.574234, 40},{58.10873, -35.050785, 40}
{70.021088, -30.744551, 37.672276},{65.07975, -25.731743, 40},{61.838779, -30.574234, 40}
{73.03698, -25.025389, 37.672276},{67.797714, -20.577549, 40},{65.07975, -25.731743, 40}
{75.350883, -19.237501, 37.672276},{69.883041, -15.36142, 40},{67.797714, -20.577549, 40}
{77.131767, -12.757608, 37.672276},{71.487999, -9.521644, 40},{69.883041, -15.36142, 40}
{78.075478, -6.385667, 37.672276},{72.338478, -3.779155, 40},{71.487999, -9.521644, 40}
{78.201958, 0.077043, 37.672276},{72.452469, 2.045135, 40},{72.338478, -3.779155, 40}
{77.491768, 6.502254, 37.672276},{71.812431, 7.835631, 40},{72.452469, 2.045135, 40}
{76.007256, 12.794394, 37.672276},{70.474571, 13.5062, 40},{71.812431, 7.835631, 40}
{73.817062, 18.877428, 37.672276},{68.50074, 18.988321, 40},{70.474571, 13.5062, 40}
{71.026871, 24.609005, 37.672276},{65.986176, 24.153704, 40},{68.50074, 18.988321, 40}
{67.714043, 29.943213, 37.672276},{63.000607, 28.960972, 40},{65.986176, 24.153704, 40}
{63.645096, 35.185066, 37.672276},{59.333607, 33.685009, 40},{63.000607, 28.960972, 40}
{59.072346, 39.906136, 37.672276},{55.212578, 37.939705, 40},{59.333607, 33.685009, 40}
{54.083462, 44.018475, 37.672276},{50.716522, 41.645809, 40},{55.212578, 37.939705, 40}
{48.67865, 47.567032, 37.672276},{45.845627, 44.843819, 40},{50.716522, 41.645809, 40}
{42.942352, 50.551205, 37.672276},{40.675991, 47.533199, 40},{45.845627, 44.843819, 40}
{36.955254, 52.994446, 37.672276},{35.280327, 49.735085, 40},{40.675991, 47.533199, 40}
{30.786871, 54.937347, 37.672276},{29.721289, 51.486053, 40},{35.280327, 49.735085, 40}
{24.61161, 56.403961, 37.672276},{24.156052, 52.807793, 40},{30.786871, 54.937347, 37.672276}
{18.118299, 57.516445, 37.672276},{18.304184, 53.810379, 40},{24.61161, 56.403961, 37.672276}
{11.692272, 58.251423, 37.672276},{12.512952, 54.472748, 40},{18.118299, 57.516445, 37.672276}
{5.238213, 58.677269, 37.672276},{6.696458, 54.856529, 40},{11.692272, 58.251423, 37.672276}
{-1.033206, 58.832756, 37.672276},{1.044562, 54.996658, 40},{5.238213, 58.677269, 37.672276}
{-7.695803, 58.750423, 37.672276},{-4.959869, 54.922455, 40},{-1.033206, 58.832756, 37.672276}
{-14.154876, 58.408817, 37.672276},{-10.780882, 54.614597, 40},{-7.695803, 58.750423, 37.672276}
{-20.591244, 57.770412, 37.672276},{-16.581432, 54.039257, 40},{-14.154876, 58.408817, 37.672276}
{-26.984634, 56.792248, 37.672276},{-22.343252, 53.157719, 40},{-20.591244, 57.770412, 37.672276}
{-33.306255, 55.426735, 37.672276},{-28.040388, 51.927097, 40},{-26.984634, 56.792248, 37.672276}
{-39.517002, 53.623932, 37.672276},{-33.637604, 50.302387, 40},{-33.306255, 55.426735, 37.672276}
{-45.564972, 51.334511, 37.672276},{-39.088127, 48.239124, 40},{-39.517002, 53.623932, 37.672276}
{-51.384018, 48.514988, 37.672276},{-44.332336, 45.698132, 40},{-45.564972, 51.334511, 37.672276}
{-57.052834, 45.028088, 37.672276},{-49.441158, 42.555683, 40},{-51.384018, 48.514988, 37.672276}
{-61.934055, 41.261929, 37.672276},{-53.840187, 39.161564, 40},{-57.052834, 45.028088, 37.672276}
{-66.670471, 36.700539, 37.672276},{-58.108719, 35.050774, 40},{-61.934055, 41.261929, 37.672276}
{-70.80941, 31.733318, 37.672276},{-61.838791, 30.57424, 40},{-66.670471, 36.700539, 37.672276}
{-74.405632, 26.360027, 37.672276},{-65.079758, 25.73175, 40},{-70.80941, 31.733318, 37.672276}
{-77.421516, 20.64086, 37.672276},{-67.797714, 20.577553, 40},{-74.405632, 26.360027, 37.672276}
{-79.735413, 14.852968, 37.672276},{-69.883034, 15.361419, 40},{-77.421516, 20.64086, 37.672276}
{-81.516319, 8.373096, 37.672276},{-71.488014, 9.521662, 40},{-79.735413, 14.852968, 37.672276}
{-82.460007, 2.00114, 37.672276},{-72.338478, 3.77916, 40},{-81.516319, 8.373096, 37.672276}
{-82.58651, -4.46157, 37.672276},{-72.452484, -2.04513, 40},{-82.460007, 2.00114, 37.672276}
{-81.876312, -10.886782, 37.672276},{-71.812447, -7.835627, 40},{-82.58651, -4.46157, 37.672276}
{-80.391785, -17.178915, 37.672276},{-70.474564, -13.50619, 40},{-81.876312, -10.886782, 37.672276}
{-78.201576, -23.261944, 37.672276},{-68.500717, -18.988306, 40},{-80.391785, -17.178915, 37.672276}
{-75.411415, -28.993544, 37.672276},{-65.986183, -24.153709, 40},{-68.500717, -18.988306, 40}
